p,cg_iters_no_prec,cg_time_no_prec,cg_iters_with_spai,cg_time_with_spai,spai_build_time,identity_diff_frobenius,condition_number_est
0.0,1000,4.8e-05,1000,2.3e-05,0.419466,20.558098,10.671414
0.2,1000,3.5e-05,1000,2.5e-05,0.50311,20.34224,7.486735
0.4,1000,7.3e-05,1000,2.5e-05,0.656961,19.940065,5.99494
0.6,1000,7.6e-05,1000,2.4e-05,0.69219,19.551223,4.695831
0.8,1000,5.7e-05,1000,2.6e-05,0.789566,19.395371,3.534248
1.0,1000,5.8e-05,1000,2.4e-05,0.85056,19.125711,2.750868
1.2,1000,6.4e-05,1000,2.6e-05,1.425416,20.451749,8.441913
1.4,1000,7.1e-05,1000,3.4e-05,2.121113,20.694868,8.061246
1.6,1000,7.1e-05,1000,3.9e-05,2.824396,21.416103,7.255439
1.8,1000,6.2e-05,1000,4.3e-05,3.467881,23.175774,5.873035
2.0,1000,6.6e-05,1000,4e-05,3.946389,25.585004,4.326938
